,x,y,people,boarding time
0,29.03726708074534,3.54796320630749,29.0,3.55
1,30.12422360248447,2.864651773981603,30.0,2.86
2,31.2111801242236,3.1537450722733245,31.0,3.15
3,32.608695652173914,3.54796320630749,33.0,3.55
4,33.38509316770186,3.9684625492772665,33.0,3.97
5,34.93788819875776,2.838370565045992,35.0,2.84
6,36.024844720496894,2.838370565045992,36.0,2.84
7,36.024844720496894,3.2325886990801576,36.0,3.23
8,35.24844720496894,3.3114323258869907,35.0,3.31
9,38.81987577639751,3.442838370565046,39.0,3.44
10,40.838509316770185,3.574244415243101,41.0,3.57
11,39.90683229813664,3.679369250985545,40.0,3.68
12,39.130434782608695,3.942181340341656,39.0,3.94
13,36.95652173913043,4.231274638633377,37.0,4.23
14,33.22981366459627,6.018396846254928,33.0,6.02
15,38.19875776397515,6.7279894875164254,38.0,6.73
16,43.01242236024844,6.570302233902759,43.0,6.57
17,44.87577639751552,6.176084099868594,45.0,6.18
18,49.06832298136646,6.360052562417871,49.0,6.36
19,40.838509316770185,4.178712220762155,41.0,4.18
20,42.0807453416149,4.231274638633377,42.0,4.23
21,41.14906832298136,4.520367936925099,41.0,4.52
22,42.0807453416149,4.756898817345598,42.0,4.76
23,46.89440993788819,3.8107752956636,47.0,3.81
24,50.931677018633536,3.600525624178712,51.0,3.6
25,51.70807453416149,3.784494086727989,52.0,3.78
26,51.086956521739125,4.388961892247044,51.0,4.39
27,47.98136645962733,4.625492772667543,48.0,4.63
28,49.99999999999999,4.704336399474376,50.0,4.7
29,51.086956521739125,5.387647831800263,51.0,5.39
30,52.01863354037267,5.57161629434954,52.0,5.57
31,53.105590062111794,5.440210249671485,53.0,5.44
32,54.03726708074534,4.914586070959264,54.0,4.91
33,54.19254658385093,5.676741130091984,54.0,5.68
34,54.03726708074534,6.780551905387648,54.0,6.78
35,54.03726708074534,7.201051248357424,54.0,7.2
36,52.17391304347826,7.201051248357424,52.0,7.2
37,55.12422360248447,7.332457293035479,55.0,7.33
38,50.931677018633536,8.252299605781866,51.0,8.25
39,59.00621118012422,8.462549277266755,59.0,8.46
40,59.16149068322981,7.8580814717477,59.0,7.86
41,60.09316770186335,6.649145860709592,60.0,6.65
42,61.02484472049689,6.438896189224704,61.0,6.44
43,62.26708074534161,6.07095926412615,62.0,6.07
44,62.26708074534161,6.254927726675427,62.0,6.25
45,60.09316770186335,5.9921156373193165,60.0,5.99
46,59.16149068322981,6.07095926412615,59.0,6.07
47,57.919254658385086,5.860709592641261,58.0,5.86
48,59.16149068322981,5.755584756898817,59.0,5.76
49,59.3167701863354,5.387647831800263,59.0,5.39
50,58.07453416149068,5.30880420499343,58.0,5.31
51,60.8695652173913,5.335085413929041,61.0,5.34
52,62.11180124223602,5.177398160315375,62.0,5.18
53,61.95652173913043,4.862023653088042,62.0,4.86
54,63.81987577639751,4.520367936925099,64.0,4.52
55,65.99378881987577,4.520367936925099,66.0,4.52
56,67.0807453416149,5.781865965834428,67.0,5.78
57,65.06211180124222,6.044678055190539,65.0,6.04
58,64.90683229813664,6.570302233902759,65.0,6.57
59,67.0807453416149,6.780551905387648,67.0,6.78
60,67.0807453416149,6.780551905387648,67.0,6.78
61,65.21739130434783,7.09592641261498,65.0,7.1
62,65.99378881987577,7.779237844940867,66.0,7.78
63,68.01242236024844,7.647831800262812,68.0,7.65
64,61.02484472049689,9.303547963206308,61.0,9.3
65,61.02484472049689,9.303547963206308,61.0,9.3
66,61.18012422360248,9.067017082785808,61.0,9.07
67,65.6832298136646,9.724047306176084,66.0,9.72
68,68.01242236024844,9.513797634691196,68.0,9.51
69,72.04968944099379,8.488830486202366,72.0,8.49
70,70.80745341614906,9.014454664914586,71.0,9.01
71,73.2919254658385,7.884362680683311,73.0,7.88
72,73.2919254658385,7.306176084099868,73.0,7.31
73,75.15527950310559,6.885676741130092,75.0,6.89
74,70.96273291925465,6.360052562417871,71.0,6.36
75,70.96273291925465,6.07095926412615,71.0,6.07
76,74.22360248447204,5.624178712220762,74.0,5.62
77,74.06832298136645,5.413929040735874,74.0,5.41
78,79.03726708074534,5.519053876478318,79.0,5.52
79,77.17391304347825,6.202365308804205,77.0,6.2
80,79.96894409937887,6.859395532194481,80.0,6.86
81,79.96894409937887,6.859395532194481,80.0,6.86
82,80.12422360248446,6.675427069645203,80.0,6.68
83,81.055900621118,7.490144546649145,81.0,7.49
84,75.31055900621118,8.147174770039422,75.0,8.15
85,77.01863354037266,8.436268068331144,77.0,8.44
86,77.01863354037266,8.699080157687254,77.0,8.7
87,78.88198757763975,8.883048620236531,79.0,8.88
88,75.93167701863354,9.697766097240471,76.0,9.7
89,70.80745341614906,9.90801576872536,71.0,9.91
90,38.97515527950311,5.30880420499343,39.0,5.31
91,55.27950310559006,4.572930354796321,55.0,4.57
92,87.11180124223601,5.151116951379763,87.0,5.15
93,105.9006211180124,5.519053876478318,106.0,5.52
94,100.0,7.09592641261498,100.0,7.1
95,99.8447204968944,7.831800262812089,100.0,7.83
96,94.25465838509317,7.726675427069645,94.0,7.73
97,93.01242236024844,8.042049934296978,93.0,8.04
98,93.01242236024844,8.042049934296978,93.0,8.04
99,93.01242236024844,7.8580814717477,93.0,7.86
100,87.11180124223601,7.647831800262812,87.0,7.65
101,85.8695652173913,8.278580814717477,86.0,8.28
102,88.04347826086956,9.224704336399476,88.0,9.22
103,79.96894409937887,9.88173455978975,80.0,9.88
104,73.13664596273291,10.249671484888305,73.0,10.25
105,72.04968944099379,10.90670170827858,72.0,10.91
106,73.91304347826086,11.14323258869908,74.0,11.14
107,78.1055900621118,15.137976346911955,78.0,15.14
108,85.8695652173913,15.558475689881734,86.0,15.56
109,86.80124223602483,14.875164257555848,87.0,14.88
110,88.04347826086956,14.796320630749014,88.0,14.8
111,84.00621118012421,14.402102496714848,84.0,14.4
112,79.96894409937887,13.035479632063074,80.0,13.04
113,79.96894409937887,11.537450722733244,80.0,11.54
114,88.9751552795031,10.38107752956636,89.0,10.38
115,90.2173913043478,10.565045992115635,90.0,10.57
116,89.44099378881987,9.540078843626809,89.0,9.54
117,92.85714285714285,9.986859395532194,93.0,9.99
118,95.1863354037267,9.986859395532194,95.0,9.99
119,96.583850931677,9.88173455978975,97.0,9.88
120,95.49689440993788,9.277266754270697,95.0,9.28
121,100.15527950310558,9.198423127463863,100.0,9.2
122,100.0,8.961892247043364,100.0,8.96
123,96.7391304347826,11.327201051248355,97.0,11.33
124,93.01242236024844,11.327201051248355,93.0,11.33
125,94.09937888198758,13.009198423127463,94.0,13.01
126,89.13043478260869,13.061760840998684,89.0,13.06
127,92.85714285714285,14.559789750328514,93.0,14.56
128,101.08695652173913,14.42838370565046,101.0,14.43
129,101.24223602484471,15.111695137976346,101.0,15.11
130,100.77639751552796,14.98028909329829,101.0,14.98
131,102.17391304347824,12.036793692509857,102.0,12.04
132,100.0,11.61629434954008,100.0,11.62
133,104.03726708074534,11.327201051248355,104.0,11.33
134,101.86335403726709,10.827858081471748,102.0,10.83
135,106.2111801242236,10.85413929040736,106.0,10.85
136,108.22981366459626,10.90670170827858,108.0,10.91
137,106.055900621118,11.169513797634693,106.0,11.17
138,112.88819875776396,11.9053876478318,113.0,11.91
139,114.90683229813664,11.747700394218134,115.0,11.75
140,110.24844720496894,12.720105124835742,110.0,12.72
141,118.94409937888196,12.772667542706964,119.0,12.77
142,120.65217391304348,12.562417871222076,121.0,12.56
143,124.06832298136644,12.483574244415244,124.0,12.48
144,122.98136645962732,12.036793692509857,123.0,12.04
145,119.25465838509317,11.563731931668856,119.0,11.56
146,121.27329192546584,11.222076215505911,121.0,11.22
147,119.25465838509317,11.090670170827858,119.0,11.09
148,115.06211180124222,10.827858081471748,115.0,10.83
149,111.95652173913042,10.749014454664914,112.0,10.75
150,107.7639751552795,10.170827858081472,108.0,10.17
151,109.1614906832298,10.249671484888305,109.0,10.25
152,108.85093167701862,9.724047306176084,109.0,9.72
153,109.0062111801242,8.383705650459921,109.0,8.38
154,110.09316770186336,7.568988173455978,110.0,7.57
