,RunId,Step,seed,steps_per_second,aisle_speed,number_of_passengers,seat_assignment_method,conformance,Time (s),Boarding completed,Seat shuffle waiting time (s)
84660,652,2838,0,2,0.8,135,steffen_perfect,30,1419.5,True,0.0
84795,658,1874,0,2,0.8,135,steffen_perfect,90,937.5,True,0.0
84930,661,2963,0,2,0.8,136,random,10,1482.0,True,0.0
85066,660,2963,0,2,0.8,136,random,0,1482.0,True,0.0
85202,664,2963,0,2,0.8,136,random,40,1482.0,True,0.0
85338,665,2963,0,2,0.8,136,random,50,1482.0,True,0.0
85474,662,2963,0,2,0.8,136,random,20,1482.0,True,0.0
85610,668,2963,0,2,0.8,136,random,80,1482.0,True,0.0
85746,669,2963,0,2,0.8,136,random,90,1482.0,True,0.0
85882,670,2963,0,2,0.8,136,random,100,1482.0,True,0.0
86018,671,3093,0,2,0.8,136,back_to_front,0,1547.0,True,0.0
86154,672,3415,0,2,0.8,136,back_to_front,10,1708.0,True,0.0
86290,673,3273,0,2,0.8,136,back_to_front,20,1637.0,True,0.0
86426,675,3627,0,2,0.8,136,back_to_front,40,1814.0,True,0.0
86562,676,3737,0,2,0.8,136,back_to_front,50,1869.0,True,0.0
86698,666,2963,0,2,0.8,136,random,60,1482.0,True,0.0
86834,677,4439,0,2,0.8,136,back_to_front,60,2220.0,True,0.0
86970,653,2874,0,2,0.8,135,steffen_perfect,40,1437.5,True,0.0
87105,682,2794,0,2,0.8,136,segmented_random,0,1397.5,True,0.0
87241,678,5088,0,2,0.8,136,back_to_front,70,2544.5,True,0.0
87377,679,5363,0,2,0.8,136,back_to_front,80,2682.0,True,0.0
87513,683,2960,0,2,0.8,136,segmented_random,10,1480.5,True,0.0
87649,684,2644,0,2,0.8,136,segmented_random,20,1322.5,True,0.0
87785,685,2990,0,2,0.8,136,segmented_random,30,1495.5,True,0.0
87921,680,6000,0,2,0.8,136,back_to_front,90,3000.5,False,0.0
88057,686,3106,0,2,0.8,136,segmented_random,40,1553.5,True,0.0
88193,687,3017,0,2,0.8,136,segmented_random,50,1509.0,True,0.0
88329,688,3060,0,2,0.8,136,segmented_random,60,1530.5,True,0.0
88465,681,6000,0,2,0.8,136,back_to_front,100,3000.5,False,0.0
88601,689,3303,0,2,0.8,136,segmented_random,70,1652.0,True,0.0
88737,690,3246,0,2,0.8,136,segmented_random,80,1623.5,True,0.0
88873,691,3376,0,2,0.8,136,segmented_random,90,1688.5,True,0.0
89009,693,2967,0,2,0.8,136,outside_in,0,1484.0,True,0.0
89145,692,3552,0,2,0.8,136,segmented_random,100,1776.5,True,0.0
89281,694,3112,0,2,0.8,136,outside_in,10,1556.5,True,0.0
89417,695,3105,0,2,0.8,136,outside_in,20,1553.0,True,0.0
89553,696,3002,0,2,0.8,136,outside_in,30,1501.5,True,0.0
89689,697,2783,0,2,0.8,136,outside_in,40,1392.0,True,0.0
89825,698,3027,0,2,0.8,136,outside_in,50,1514.0,True,0.0
89961,700,2635,0,2,0.8,136,outside_in,70,1318.0,True,0.0
90097,699,3180,0,2,0.8,136,outside_in,60,1590.5,True,0.0
90233,701,2973,0,2,0.8,136,outside_in,80,1487.0,True,0.0
90369,704,2617,0,2,0.8,136,steffen_perfect,0,1309.0,True,0.0
90505,702,2888,0,2,0.8,136,outside_in,90,1444.5,True,0.0
90641,703,2989,0,2,0.8,136,outside_in,100,1495.0,True,0.0
90777,705,2736,0,2,0.8,136,steffen_perfect,10,1368.5,True,0.0
90913,706,2841,0,2,0.8,136,steffen_perfect,20,1421.0,True,0.0
91049,708,2471,0,2,0.8,136,steffen_perfect,40,1236.0,True,0.0
91185,707,2987,0,2,0.8,136,steffen_perfect,30,1494.0,True,0.0
91321,710,2372,0,2,0.8,136,steffen_perfect,60,1186.5,True,0.0
91457,714,1611,0,2,0.8,136,steffen_perfect,100,806.0,True,0.0
91593,709,2727,0,2,0.8,136,steffen_perfect,50,1364.0,True,0.0
91729,711,2150,0,2,0.8,136,steffen_perfect,70,1075.5,True,0.0
91865,713,1860,0,2,0.8,136,steffen_perfect,90,930.5,True,0.0
92001,712,2088,0,2,0.8,136,steffen_perfect,80,1044.5,True,0.0
92137,715,2696,0,2,0.8,137,random,0,1348.5,True,0.0
92274,716,2696,0,2,0.8,137,random,10,1348.5,True,0.0
92411,717,2696,0,2,0.8,137,random,20,1348.5,True,0.0
92548,719,2696,0,2,0.8,137,random,40,1348.5,True,0.0
92685,718,2696,0,2,0.8,137,random,30,1348.5,True,0.0
92822,720,2696,0,2,0.8,137,random,50,1348.5,True,0.0
92959,721,2696,0,2,0.8,137,random,60,1348.5,True,0.0
93096,723,2696,0,2,0.8,137,random,80,1348.5,True,0.0
93233,722,2696,0,2,0.8,137,random,70,1348.5,True,0.0
93370,724,2696,0,2,0.8,137,random,90,1348.5,True,0.0
93507,725,2696,0,2,0.8,137,random,100,1348.5,True,0.0
93644,726,3040,0,2,0.8,137,back_to_front,0,1520.5,True,0.0
93781,727,3245,0,2,0.8,137,back_to_front,10,1623.0,True,0.0
93918,728,3607,0,2,0.8,137,back_to_front,20,1804.0,True,0.0
94055,729,3464,0,2,0.8,137,back_to_front,30,1732.5,True,0.0
94192,730,3639,0,2,0.8,137,back_to_front,40,1820.0,True,0.0
94329,731,4221,0,2,0.8,137,back_to_front,50,2111.0,True,0.0
94466,732,4547,0,2,0.8,137,back_to_front,60,2274.0,True,0.0
94603,733,5092,0,2,0.8,137,back_to_front,70,2546.5,True,0.0
94740,737,2942,0,2,0.8,137,segmented_random,0,1471.5,True,0.0
94877,738,3061,0,2,0.8,137,segmented_random,10,1531.0,True,0.0
95014,739,3172,0,2,0.8,137,segmented_random,20,1586.5,True,0.0
95151,734,5882,0,2,0.8,137,back_to_front,80,2941.5,True,0.0
95288,740,3262,0,2,0.8,137,segmented_random,30,1631.5,True,0.0
95425,741,3088,0,2,0.8,137,segmented_random,40,1544.5,True,0.0
95562,742,3432,0,2,0.8,137,segmented_random,50,1716.5,True,0.0
95699,736,6000,0,2,0.8,137,back_to_front,100,3000.5,False,0.0
95836,743,3157,0,2,0.8,137,segmented_random,60,1579.0,True,0.0
95973,744,3170,0,2,0.8,137,segmented_random,70,1585.5,True,0.0
96110,747,3715,0,2,0.8,137,segmented_random,100,1858.0,True,0.0
96247,750,2963,0,2,0.8,137,outside_in,20,1482.0,True,0.0
96384,753,2922,0,2,0.8,137,outside_in,50,1461.5,True,0.0
96521,751,3121,0,2,0.8,137,outside_in,30,1561.0,True,0.0
96658,755,2606,0,2,0.8,137,outside_in,70,1303.5,True,0.0
96795,749,3093,0,2,0.8,137,outside_in,10,1547.0,True,0.0
96932,758,2740,0,2,0.8,137,outside_in,100,1370.5,True,0.0
97069,759,3081,0,2,0.8,137,steffen_perfect,0,1541.0,True,0.0
97206,760,3062,0,2,0.8,137,steffen_perfect,10,1531.5,True,0.0
97343,761,2621,0,2,0.8,137,steffen_perfect,20,1311.0,True,0.0
97480,762,2665,0,2,0.8,137,steffen_perfect,30,1333.0,True,0.0
97617,763,2986,0,2,0.8,137,steffen_perfect,40,1493.5,True,0.0
97754,764,3112,0,2,0.8,137,steffen_perfect,50,1556.5,True,0.0
97891,765,2573,0,2,0.8,137,steffen_perfect,60,1287.0,True,0.0
98028,766,2426,0,2,0.8,137,steffen_perfect,70,1213.5,True,0.0
98165,767,2027,0,2,0.8,137,steffen_perfect,80,1014.0,True,0.0
98302,757,2559,0,2,0.8,137,outside_in,90,1280.0,True,0.0
98439,768,1995,0,2,0.8,137,steffen_perfect,90,998.0,True,0.0
98576,769,1625,0,2,0.8,137,steffen_perfect,100,813.0,True,0.0
98713,770,3126,0,2,0.8,138,random,0,1563.5,True,0.0
98851,771,3126,0,2,0.8,138,random,10,1563.5,True,0.0
98989,772,3126,0,2,0.8,138,random,20,1563.5,True,0.0
99127,773,3126,0,2,0.8,138,random,30,1563.5,True,0.0
99265,774,3126,0,2,0.8,138,random,40,1563.5,True,0.0
99403,775,3126,0,2,0.8,138,random,50,1563.5,True,0.0
99541,776,3126,0,2,0.8,138,random,60,1563.5,True,0.0
99679,777,3126,0,2,0.8,138,random,70,1563.5,True,0.0
99817,778,3126,0,2,0.8,138,random,80,1563.5,True,0.0
99955,640,2901,0,2,0.8,135,outside_in,20,1451.0,True,0.0
100090,641,3166,0,2,0.8,135,outside_in,30,1583.5,True,0.0
100225,779,3126,0,2,0.8,138,random,90,1563.5,True,0.0
100363,782,3015,0,2,0.8,138,back_to_front,10,1508.0,True,0.0
100501,783,3525,0,2,0.8,138,back_to_front,20,1763.0,True,0.0
100639,784,3949,0,2,0.8,138,back_to_front,30,1975.0,True,0.0
100777,648,2915,0,2,0.8,135,outside_in,100,1458.0,True,0.0
100912,785,4014,0,2,0.8,138,back_to_front,40,2007.5,True,0.0
101050,786,4237,0,2,0.8,138,back_to_front,50,2119.0,True,0.0
101188,674,3422,0,2,0.8,136,back_to_front,30,1711.5,True,0.0
101324,787,4684,0,2,0.8,138,back_to_front,60,2342.5,True,0.0
101462,788,4999,0,2,0.8,138,back_to_front,70,2500.0,True,0.0
101600,667,2963,0,2,0.8,136,random,70,1482.0,True,0.0
101736,663,2963,0,2,0.8,136,random,30,1482.0,True,0.0
101872,789,5847,0,2,0.8,138,back_to_front,80,2924.0,True,0.0
102010,792,2952,0,2,0.8,138,segmented_random,0,1476.5,True,0.0
102148,793,2935,0,2,0.8,138,segmented_random,10,1468.0,True,0.0
102286,790,6000,0,2,0.8,138,back_to_front,90,3000.5,False,0.0
102424,794,3257,0,2,0.8,138,segmented_random,20,1629.0,True,0.0
102562,795,3289,0,2,0.8,138,segmented_random,30,1645.0,True,0.0
102700,796,3099,0,2,0.8,138,segmented_random,40,1550.0,True,0.0
102838,791,6000,0,2,0.8,138,back_to_front,100,3000.5,False,0.0
102976,798,3089,0,2,0.8,138,segmented_random,60,1545.0,True,0.0
103114,799,3493,0,2,0.8,138,segmented_random,70,1747.0,True,0.0
103252,800,3408,0,2,0.8,138,segmented_random,80,1704.5,True,0.0
103390,801,3459,0,2,0.8,138,segmented_random,90,1730.0,True,0.0
103528,803,2914,0,2,0.8,138,outside_in,0,1457.5,True,0.0
103666,802,3626,0,2,0.8,138,segmented_random,100,1813.5,True,0.0
103804,804,3205,0,2,0.8,138,outside_in,10,1603.0,True,0.0
103942,806,2823,0,2,0.8,138,outside_in,30,1412.0,True,0.0
104080,805,2945,0,2,0.8,138,outside_in,20,1473.0,True,0.0
104218,809,2593,0,2,0.8,138,outside_in,60,1297.0,True,0.0
104356,808,2725,0,2,0.8,138,outside_in,50,1363.0,True,0.0
104494,807,2907,0,2,0.8,138,outside_in,40,1454.0,True,0.0
104632,810,2963,0,2,0.8,138,outside_in,70,1482.0,True,0.0
104770,814,2778,0,2,0.8,138,steffen_perfect,0,1389.5,True,0.0
104908,811,3009,0,2,0.8,138,outside_in,80,1505.0,True,0.0
105046,746,3456,0,2,0.8,137,segmented_random,90,1728.5,True,0.0
105183,815,2786,0,2,0.8,138,steffen_perfect,10,1393.5,True,0.0
105321,816,2773,0,2,0.8,138,steffen_perfect,20,1387.0,True,0.0
105459,820,2480,0,2,0.8,138,steffen_perfect,60,1240.5,True,0.0
105597,817,2472,0,2,0.8,138,steffen_perfect,30,1236.5,True,0.0
105735,819,2522,0,2,0.8,138,steffen_perfect,50,1261.5,True,0.0
105873,818,2803,0,2,0.8,138,steffen_perfect,40,1402.0,True,0.0
106011,735,6000,0,2,0.8,137,back_to_front,90,3000.5,False,0.0
106148,824,1616,0,2,0.8,138,steffen_perfect,100,808.5,True,0.0
106286,823,1808,0,2,0.8,138,steffen_perfect,90,904.5,True,0.0
106424,822,2220,0,2,0.8,138,steffen_perfect,80,1110.5,True,0.0
106562,825,3200,0,2,0.8,139,random,0,1600.5,True,0.0
106701,828,3200,0,2,0.8,139,random,30,1600.5,True,0.0
106840,826,3200,0,2,0.8,139,random,10,1600.5,True,0.0
106979,827,3200,0,2,0.8,139,random,20,1600.5,True,0.0
107118,829,3200,0,2,0.8,139,random,40,1600.5,True,0.0
107257,830,3200,0,2,0.8,139,random,50,1600.5,True,0.0
107396,832,3200,0,2,0.8,139,random,70,1600.5,True,0.0
107535,833,3200,0,2,0.8,139,random,80,1600.5,True,0.0
107674,754,2748,0,2,0.8,137,outside_in,60,1374.5,True,0.0
107811,745,3442,0,2,0.8,137,segmented_random,80,1721.5,True,0.0
107948,748,3027,0,2,0.8,137,outside_in,0,1514.0,True,0.0
108085,752,2927,0,2,0.8,137,outside_in,40,1464.0,True,0.0
108222,836,2910,0,2,0.8,139,back_to_front,0,1455.5,True,0.0
108361,837,2978,0,2,0.8,139,back_to_front,10,1489.5,True,0.0
108500,756,2572,0,2,0.8,137,outside_in,80,1286.5,True,0.0
108637,838,3743,0,2,0.8,139,back_to_front,20,1872.0,True,0.0
108776,840,3741,0,2,0.8,139,back_to_front,40,1871.0,True,0.0
108915,839,4126,0,2,0.8,139,back_to_front,30,2063.5,True,0.0
109054,841,4522,0,2,0.8,139,back_to_front,50,2261.5,True,0.0
109193,842,4621,0,2,0.8,139,back_to_front,60,2311.0,True,0.0
109332,843,5007,0,2,0.8,139,back_to_front,70,2504.0,True,0.0
109471,847,2778,0,2,0.8,139,segmented_random,0,1389.5,True,0.0
109610,844,5751,0,2,0.8,139,back_to_front,80,2876.0,True,0.0
109749,848,2907,0,2,0.8,139,segmented_random,10,1454.0,True,0.0
109888,845,6000,0,2,0.8,139,back_to_front,90,3000.5,False,0.0
110027,849,3024,0,2,0.8,139,segmented_random,20,1512.5,True,0.0
110166,851,2897,0,2,0.8,139,segmented_random,40,1449.0,True,0.0
110305,850,3162,0,2,0.8,139,segmented_random,30,1581.5,True,0.0
110444,846,6000,0,2,0.8,139,back_to_front,100,3000.5,False,0.0
110583,852,2881,0,2,0.8,139,segmented_random,50,1441.0,True,0.0
110722,853,3145,0,2,0.8,139,segmented_random,60,1573.0,True,0.0
110861,854,3261,0,2,0.8,139,segmented_random,70,1631.0,True,0.0
111000,855,3332,0,2,0.8,139,segmented_random,80,1666.5,True,0.0
111139,858,3285,0,2,0.8,139,outside_in,0,1643.0,True,0.0
111278,856,3670,0,2,0.8,139,segmented_random,90,1835.5,True,0.0
111417,859,2881,0,2,0.8,139,outside_in,10,1441.0,True,0.0
111556,857,3854,0,2,0.8,139,segmented_random,100,1927.5,True,0.0
111695,860,2927,0,2,0.8,139,outside_in,20,1464.0,True,0.0
111834,861,2941,0,2,0.8,139,outside_in,30,1471.0,True,0.0
111973,862,2962,0,2,0.8,139,outside_in,40,1481.5,True,0.0
112112,865,2765,0,2,0.8,139,outside_in,70,1383.0,True,0.0
112251,864,2734,0,2,0.8,139,outside_in,60,1367.5,True,0.0
112390,863,3137,0,2,0.8,139,outside_in,50,1569.0,True,0.0
112529,867,3047,0,2,0.8,139,outside_in,90,1524.0,True,0.0
112668,868,2830,0,2,0.8,139,outside_in,100,1415.5,True,0.0
112807,870,2793,0,2,0.8,139,steffen_perfect,10,1397.0,True,0.0
112946,871,2909,0,2,0.8,139,steffen_perfect,20,1455.0,True,0.0
113085,872,2808,0,2,0.8,139,steffen_perfect,30,1404.5,True,0.0
113224,873,2752,0,2,0.8,139,steffen_perfect,40,1376.5,True,0.0
113363,874,2547,0,2,0.8,139,steffen_perfect,50,1274.0,True,0.0
113502,875,2383,0,2,0.8,139,steffen_perfect,60,1192.0,True,0.0
113641,877,2102,0,2,0.8,139,steffen_perfect,80,1051.5,True,0.0
113780,876,2437,0,2,0.8,139,steffen_perfect,70,1219.0,True,0.0
113919,878,1941,0,2,0.8,139,steffen_perfect,90,971.0,True,0.0
114058,879,1644,0,2,0.8,139,steffen_perfect,100,822.5,True,0.0
114197,880,3024,0,2,0.8,140,random,0,1512.5,True,0.0
114337,881,3024,0,2,0.8,140,random,10,1512.5,True,0.0
114477,780,3126,0,2,0.8,138,random,100,1563.5,True,0.0
114615,781,2970,0,2,0.8,138,back_to_front,0,1485.5,True,0.0
114753,887,3024,0,2,0.8,140,random,70,1512.5,True,0.0
114893,888,3024,0,2,0.8,140,random,80,1512.5,True,0.0
115033,889,3024,0,2,0.8,140,random,90,1512.5,True,0.0
115173,890,3024,0,2,0.8,140,random,100,1512.5,True,0.0
115313,812,2725,0,2,0.8,138,outside_in,90,1363.0,True,0.0
115451,813,2792,0,2,0.8,138,outside_in,100,1396.5,True,0.0
115589,891,3379,0,2,0.8,140,back_to_front,0,1690.0,True,0.0
115729,892,2958,0,2,0.8,140,back_to_front,10,1479.5,True,0.0
115869,893,3627,0,2,0.8,140,back_to_front,20,1814.0,True,0.0
116009,821,2583,0,2,0.8,138,steffen_perfect,70,1292.0,True,0.0
116147,894,3805,0,2,0.8,140,back_to_front,30,1903.0,True,0.0
116287,896,3937,0,2,0.8,140,back_to_front,50,1969.0,True,0.0
116427,895,4074,0,2,0.8,140,back_to_front,40,2037.5,True,0.0
116567,897,4255,0,2,0.8,140,back_to_front,60,2128.0,True,0.0
116707,898,5091,0,2,0.8,140,back_to_front,70,2546.0,True,0.0
116847,797,3441,0,2,0.8,138,segmented_random,50,1721.0,True,0.0
116985,899,5303,0,2,0.8,140,back_to_front,80,2652.0,True,0.0
117125,902,3080,0,2,0.8,140,segmented_random,0,1540.5,True,0.0
117265,903,2474,0,2,0.8,140,segmented_random,10,1237.5,True,0.0
117405,904,2499,0,2,0.8,140,segmented_random,20,1250.0,True,0.0
117545,900,6000,0,2,0.8,140,back_to_front,90,3000.5,False,0.0
117685,901,6000,0,2,0.8,140,back_to_front,100,3000.5,False,0.0
117825,905,3011,0,2,0.8,140,segmented_random,30,1506.0,True,0.0
117965,831,3200,0,2,0.8,139,random,60,1600.5,True,0.0
118104,906,2760,0,2,0.8,140,segmented_random,40,1380.5,True,0.0
118244,834,3200,0,2,0.8,139,random,90,1600.5,True,0.0
118383,907,3285,0,2,0.8,140,segmented_random,50,1643.0,True,0.0
118523,908,3338,0,2,0.8,140,segmented_random,60,1669.5,True,0.0
118663,835,3200,0,2,0.8,139,random,100,1600.5,True,0.0
118802,909,3502,0,2,0.8,140,segmented_random,70,1751.5,True,0.0
118942,913,2979,0,2,0.8,140,outside_in,0,1490.0,True,0.0
119082,910,3565,0,2,0.8,140,segmented_random,80,1783.0,True,0.0
119222,914,3091,0,2,0.8,140,outside_in,10,1546.0,True,0.0
119362,911,3821,0,2,0.8,140,segmented_random,90,1911.0,True,0.0
119502,912,3960,0,2,0.8,140,segmented_random,100,1980.5,True,0.0
119642,916,2947,0,2,0.8,140,outside_in,30,1474.0,True,0.0
119782,915,3360,0,2,0.8,140,outside_in,20,1680.5,True,0.0
119922,918,2805,0,2,0.8,140,outside_in,50,1403.0,True,0.0
120062,917,3228,0,2,0.8,140,outside_in,40,1614.5,True,0.0
120202,919,3075,0,2,0.8,140,outside_in,60,1538.0,True,0.0
120342,920,2951,0,2,0.8,140,outside_in,70,1476.0,True,0.0
120482,921,3113,0,2,0.8,140,outside_in,80,1557.0,True,0.0
120622,922,2853,0,2,0.8,140,outside_in,90,1427.0,True,0.0
120762,923,3005,0,2,0.8,140,outside_in,100,1503.0,True,0.0
120902,925,2399,0,2,0.8,140,steffen_perfect,10,1200.0,True,0.0
121042,924,2758,0,2,0.8,140,steffen_perfect,0,1379.5,True,0.0
121182,927,2599,0,2,0.8,140,steffen_perfect,30,1300.0,True,0.0
121322,928,2371,0,2,0.8,140,steffen_perfect,40,1186.0,True,0.0
121462,930,2553,0,2,0.8,140,steffen_perfect,60,1277.0,True,0.0
121602,931,2546,0,2,0.8,140,steffen_perfect,70,1273.5,True,0.0
121742,934,1641,0,2,0.8,140,steffen_perfect,100,821.0,True,0.0
121882,932,2285,0,2,0.8,140,steffen_perfect,80,1143.0,True,0.0
122022,933,2125,0,2,0.8,140,steffen_perfect,90,1063.0,True,0.0
122162,935,3479,0,2,0.8,141,random,0,1740.0,True,0.0
122303,937,3479,0,2,0.8,141,random,20,1740.0,True,0.0
122444,940,3479,0,2,0.8,141,random,50,1740.0,True,0.0
122585,941,3479,0,2,0.8,141,random,60,1740.0,True,0.0
122726,939,3479,0,2,0.8,141,random,40,1740.0,True,0.0
122867,942,3479,0,2,0.8,141,random,70,1740.0,True,0.0
123008,946,2900,0,2,0.8,141,back_to_front,0,1450.5,True,0.0
123149,943,3479,0,2,0.8,141,random,80,1740.0,True,0.0
123290,944,3479,0,2,0.8,141,random,90,1740.0,True,0.0
123431,947,3257,0,2,0.8,141,back_to_front,10,1629.0,True,0.0
123572,948,3365,0,2,0.8,141,back_to_front,20,1683.0,True,0.0
123713,949,3772,0,2,0.8,141,back_to_front,30,1886.5,True,0.0
123854,950,3941,0,2,0.8,141,back_to_front,40,1971.0,True,0.0
123995,951,4020,0,2,0.8,141,back_to_front,50,2010.5,True,0.0
124136,866,2917,0,2,0.8,139,outside_in,80,1459.0,True,0.0
124275,869,2961,0,2,0.8,139,steffen_perfect,0,1481.0,True,0.0
124414,957,2858,0,2,0.8,141,segmented_random,0,1429.5,True,0.0
124555,956,6000,0,2,0.8,141,back_to_front,100,3000.5,False,0.0
124696,958,2947,0,2,0.8,141,segmented_random,10,1474.0,True,0.0
124837,882,3024,0,2,0.8,140,random,20,1512.5,True,0.0
124977,883,3024,0,2,0.8,140,random,30,1512.5,True,0.0
125117,959,3080,0,2,0.8,141,segmented_random,20,1540.5,True,0.0
125258,960,3362,0,2,0.8,141,segmented_random,30,1681.5,True,0.0
125399,961,3058,0,2,0.8,141,segmented_random,40,1529.5,True,0.0
125540,884,3024,0,2,0.8,140,random,40,1512.5,True,0.0
125680,886,3024,0,2,0.8,140,random,60,1512.5,True,0.0
125820,962,3333,0,2,0.8,141,segmented_random,50,1667.0,True,0.0
125961,885,3024,0,2,0.8,140,random,50,1512.5,True,0.0
126101,963,3106,0,2,0.8,141,segmented_random,60,1553.5,True,0.0
126242,964,3272,0,2,0.8,141,segmented_random,70,1636.5,True,0.0
126383,965,3513,0,2,0.8,141,segmented_random,80,1757.0,True,0.0
126524,966,3943,0,2,0.8,141,segmented_random,90,1972.0,True,0.0
126665,967,3906,0,2,0.8,141,segmented_random,100,1953.5,True,0.0
126806,968,3168,0,2,0.8,141,outside_in,0,1584.5,True,0.0
126947,969,3049,0,2,0.8,141,outside_in,10,1525.0,True,0.0
127088,970,3113,0,2,0.8,141,outside_in,20,1557.0,True,0.0
127229,971,2974,0,2,0.8,141,outside_in,30,1487.5,True,0.0
127370,972,3337,0,2,0.8,141,outside_in,40,1669.0,True,0.0
127511,973,2995,0,2,0.8,141,outside_in,50,1498.0,True,0.0
127652,974,2974,0,2,0.8,141,outside_in,60,1487.5,True,0.0
127793,975,2951,0,2,0.8,141,outside_in,70,1476.0,True,0.0
127934,976,2926,0,2,0.8,141,outside_in,80,1463.5,True,0.0
128075,977,2985,0,2,0.8,141,outside_in,90,1493.0,True,0.0
128216,978,2988,0,2,0.8,141,outside_in,100,1494.5,True,0.0
128357,979,2922,0,2,0.8,141,steffen_perfect,0,1461.5,True,0.0
128498,981,2822,0,2,0.8,141,steffen_perfect,20,1411.5,True,0.0
128639,982,2855,0,2,0.8,141,steffen_perfect,30,1428.0,True,0.0
128780,980,2896,0,2,0.8,141,steffen_perfect,10,1448.5,True,0.0
128921,983,2642,0,2,0.8,141,steffen_perfect,40,1321.5,True,0.0
129062,984,2652,0,2,0.8,141,steffen_perfect,50,1326.5,True,0.0
129203,985,2480,0,2,0.8,141,steffen_perfect,60,1240.5,True,0.0
129344,989,1645,0,2,0.8,141,steffen_perfect,100,823.0,True,0.0
129485,988,1912,0,2,0.8,141,steffen_perfect,90,956.5,True,0.0
129626,986,2659,0,2,0.8,141,steffen_perfect,70,1330.0,True,0.0
129767,987,2636,0,2,0.8,141,steffen_perfect,80,1318.5,True,0.0
129908,938,3479,0,2,0.8,141,random,30,1740.0,True,0.0
130049,936,3479,0,2,0.8,141,random,10,1740.0,True,0.0
130190,945,3479,0,2,0.8,141,random,100,1740.0,True,0.0
130331,953,4886,0,2,0.8,141,back_to_front,70,2443.5,True,0.0
130472,954,5751,0,2,0.8,141,back_to_front,80,2876.0,True,0.0
130613,955,6000,0,2,0.8,141,back_to_front,90,3000.5,False,0.0
130754,952,4297,0,2,0.8,141,back_to_front,60,2149.0,True,0.0
130895,929,2782,0,2,0.8,140,steffen_perfect,50,1391.5,True,0.0
131035,926,3172,0,2,0.8,140,steffen_perfect,20,1586.5,True,0.0
