,RunId,Step,seed,steps_per_second,aisle_speed,number_of_passengers,seat_assignment_method,conformance,Time (s),Boarding completed
63543,486,3947,0,2,0.8,140,back_to_front,50,1974.0,True
63683,487,4255,0,2,0.8,140,back_to_front,60,2128.0,True
63823,488,5092,0,2,0.8,140,back_to_front,70,2546.5,True
63963,489,5302,0,2,0.8,140,back_to_front,80,2651.5,True
64103,490,6000,0,2,0.8,140,back_to_front,90,3000.5,False
64243,458,5020,0,2,0.8,139,back_to_front,70,2510.5,True
64382,492,3286,0,2,0.8,140,segmented_random,50,1643.5,True
64522,493,3343,0,2,0.8,140,segmented_random,60,1672.0,True
64662,494,3506,0,2,0.8,140,segmented_random,70,1753.5,True
64802,495,3571,0,2,0.8,140,segmented_random,80,1786.0,True
64942,496,3838,0,2,0.8,140,segmented_random,90,1919.5,True
65082,463,3159,0,2,0.8,139,segmented_random,60,1580.0,True
65221,497,3967,0,2,0.8,140,segmented_random,100,1984.0,True
65361,498,2813,0,2,0.8,140,outside_in,50,1407.0,True
65501,499,3088,0,2,0.8,140,outside_in,60,1544.5,True
65641,500,2952,0,2,0.8,140,outside_in,70,1476.5,True
65781,502,2853,0,2,0.8,140,outside_in,90,1427.0,True
65921,501,3115,0,2,0.8,140,outside_in,80,1558.0,True
66061,504,2788,0,2,0.8,140,steffen_perfect,50,1394.5,True
66201,503,3005,0,2,0.8,140,outside_in,100,1503.0,True
66341,505,2563,0,2,0.8,140,steffen_perfect,60,1282.0,True
66481,506,2547,0,2,0.8,140,steffen_perfect,70,1274.0,True
66621,507,2288,0,2,0.8,140,steffen_perfect,80,1144.5,True
66761,508,2125,0,2,0.8,140,steffen_perfect,90,1063.0,True
66901,509,1641,0,2,0.8,140,steffen_perfect,100,821.0,True
67041,510,3483,0,2,0.8,141,random,50,1742.0,True
67182,511,3483,0,2,0.8,141,random,60,1742.0,True
67323,512,3483,0,2,0.8,141,random,70,1742.0,True
67464,513,3483,0,2,0.8,141,random,80,1742.0,True
67605,514,3483,0,2,0.8,141,random,90,1742.0,True
67746,515,3483,0,2,0.8,141,random,100,1742.0,True
67887,516,4026,0,2,0.8,141,back_to_front,50,2013.5,True
68028,518,4903,0,2,0.8,141,back_to_front,70,2452.0,True
68169,519,5760,0,2,0.8,141,back_to_front,80,2880.5,True
68310,479,1644,0,2,0.8,139,steffen_perfect,100,822.5,True
68449,521,6000,0,2,0.8,141,back_to_front,100,3000.5,False
68590,522,3335,0,2,0.8,141,segmented_random,50,1668.0,True
68731,523,3110,0,2,0.8,141,segmented_random,60,1555.5,True
68872,524,3277,0,2,0.8,141,segmented_random,70,1639.0,True
69013,525,3514,0,2,0.8,141,segmented_random,80,1757.5,True
69154,526,3946,0,2,0.8,141,segmented_random,90,1973.5,True
69295,527,3910,0,2,0.8,141,segmented_random,100,1955.5,True
69436,528,3007,0,2,0.8,141,outside_in,50,1504.0,True
69577,529,2978,0,2,0.8,141,outside_in,60,1489.5,True
69718,530,2951,0,2,0.8,141,outside_in,70,1476.0,True
69859,531,2928,0,2,0.8,141,outside_in,80,1464.5,True
70000,532,2985,0,2,0.8,141,outside_in,90,1493.0,True
70141,533,2988,0,2,0.8,141,outside_in,100,1494.5,True
70282,534,2662,0,2,0.8,141,steffen_perfect,50,1331.5,True
70423,491,6000,0,2,0.8,140,back_to_front,100,3000.5,False
70563,536,2663,0,2,0.8,141,steffen_perfect,70,1332.0,True
70704,537,2636,0,2,0.8,141,steffen_perfect,80,1318.5,True
70845,538,1912,0,2,0.8,141,steffen_perfect,90,956.5,True
70986,539,1645,0,2,0.8,141,steffen_perfect,100,823.0,True
71127,520,6000,0,2,0.8,141,back_to_front,90,3000.5,False
71268,517,4306,0,2,0.8,141,back_to_front,60,2153.5,True
71409,535,2486,0,2,0.8,141,steffen_perfect,60,1243.5,True
